id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
339,2012,Pune,2012-04-24,10,6,10,bat,normal,0,6,0,8,V Sehwag,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
340,2012,Chandigarh,2012-04-25,4,7,4,bat,normal,0,7,0,4,AT Rayudu,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,BNJ Oxenford,
341,2012,Pune,2012-04-26,11,10,11,bat,normal,0,11,18,0,CL White,Subrata Roy Sahara Stadium,S Ravi,RJ Tucker,
342,2012,Delhi,2012-04-27,6,7,7,field,normal,0,6,37,0,V Sehwag,Feroz Shah Kotla,Aleem Dar,BNJ Oxenford,
343,2012,Chennai,2012-04-28,4,3,4,bat,normal,0,4,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,
344,2012,Kolkata,2012-04-28,8,2,8,bat,normal,0,8,47,0,G Gambhir,Eden Gardens,Asad Rauf,BR Doctrove,
345,2012,Delhi,2012-04-29,6,5,6,bat,normal,0,6,1,0,V Sehwag,Feroz Shah Kotla,S Ravi,RJ Tucker,
346,2012,Mumbai,2012-04-29,11,7,7,field,normal,0,7,0,5,DW Steyn,Wankhede Stadium,AK Chaudhary,BNJ Oxenford,
347,2012,Chennai,2012-04-30,3,8,3,bat,normal,0,8,0,5,G Gambhir,"MA Chidambaram Stadium, Chepauk",BF Bowden,C Shamshuddin,
348,2012,Cuttack,2012-05-01,11,10,11,bat,normal,0,11,13,0,KC Sangakkara,Barabati Stadium,Aleem Dar,AK Chaudhary,
349,2012,Jaipur,2012-05-01,5,6,5,bat,normal,0,6,0,6,P Negi,Sawai Mansingh Stadium,JD Cloete,SJA Taufel,
350,2012,Bangalore,2012-05-02,2,4,4,field,normal,0,4,0,4,Azhar Mahmood,M Chinnaswamy Stadium,BF Bowden,C Shamshuddin,
351,2012,Pune,2012-05-03,7,10,7,bat,normal,0,7,1,0,SL Malinga,Subrata Roy Sahara Stadium,Asad Rauf,S Asnani,
352,2012,Chennai,2012-05-04,3,11,3,bat,normal,0,3,10,0,SK Raina,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,BNJ Oxenford,
353,2012,Kolkata,2012-05-05,8,10,8,bat,normal,0,8,7,0,SP Narine,Eden Gardens,BF Bowden,SK Tarapore,
354,2012,Chandigarh,2012-05-05,5,4,5,bat,normal,0,5,43,0,SR Watson,"Punjab Cricket Association Stadium, Mohali",JD Cloete,SJA Taufel,
355,2012,Mumbai,2012-05-06,3,7,7,field,normal,0,7,0,2,DR Smith,Wankhede Stadium,Asad Rauf,S Asnani,
356,2012,Bangalore,2012-05-06,11,2,2,field,normal,0,2,0,5,AB de Villiers,M Chinnaswamy Stadium,HDPK Dharmasena,BNJ Oxenford,
357,2012,Delhi,2012-05-07,6,8,6,bat,normal,0,8,0,6,JH Kallis,Feroz Shah Kotla,JD Cloete,S Ravi,
358,2012,Pune,2012-05-08,10,5,10,bat,normal,0,5,0,7,SR Watson,Subrata Roy Sahara Stadium,Asad Rauf,BR Doctrove,
359,2012,Hyderabad,2012-05-08,4,11,11,field,normal,0,4,25,0,Mandeep Singh,"Rajiv Gandhi International Stadium, Uppal",HDPK Dharmasena,BNJ Oxenford,
360,2012,Mumbai,2012-05-09,7,2,2,field,normal,0,2,0,9,CH Gayle,Wankhede Stadium,BF Bowden,VA Kulkarni,
361,2012,Jaipur,2012-05-10,5,3,3,field,normal,0,3,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,BNJ Oxenford,C Shamshuddin,
362,2012,Pune,2012-05-11,2,10,10,field,normal,0,2,35,0,CH Gayle,Subrata Roy Sahara Stadium,BF Bowden,SK Tarapore,
363,2012,Kolkata,2012-05-12,7,8,7,bat,normal,0,7,27,0,RG Sharma,Eden Gardens,S Ravi,SJA Taufel,
364,2012,Chennai,2012-05-12,6,3,3,field,normal,0,3,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",S Das,BR Doctrove,
365,2012,Jaipur,2012-05-13,5,10,5,bat,normal,0,5,45,0,A Chandila,Sawai Mansingh Stadium,BF Bowden,SK Tarapore,
366,2012,Chandigarh,2012-05-13,11,4,11,bat,normal,0,4,0,4,DJ Hussey,"Punjab Cricket Association Stadium, Mohali",HDPK Dharmasena,BNJ Oxenford,
367,2012,Bangalore,2012-05-14,2,7,7,field,normal,0,7,0,5,AT Rayudu,M Chinnaswamy Stadium,S Das,BR Doctrove,
368,2012,Kolkata,2012-05-14,8,3,3,field,normal,0,3,0,5,MEK Hussey,Eden Gardens,JD Cloete,SJA Taufel,
369,2012,Delhi,2012-05-15,4,6,4,bat,normal,0,6,0,5,UT Yadav,Feroz Shah Kotla,HDPK Dharmasena,BNJ Oxenford,
370,2012,Mumbai,2012-05-16,8,7,7,field,normal,0,8,32,0,SP Narine,Wankhede Stadium,S Das,BR Doctrove,
371,2012,Dharamsala,2012-05-17,3,4,4,field,normal,0,4,0,6,AC Gilchrist,Himachal Pradesh Cricket Association Stadium,VA Kulkarni,SK Tarapore,
372,2012,Delhi,2012-05-17,2,6,6,field,normal,0,2,21,0,CH Gayle,Feroz Shah Kotla,HDPK Dharmasena,C Shamshuddin,
373,2012,Hyderabad,2012-05-18,5,11,5,bat,normal,0,11,0,5,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
374,2012,Dharamsala,2012-05-19,4,6,6,field,normal,0,6,0,6,UT Yadav,Himachal Pradesh Cricket Association Stadium,BF Bowden,VA Kulkarni,
375,2012,Pune,2012-05-19,8,10,8,bat,normal,0,8,34,0,Shakib Al Hasan,Subrata Roy Sahara Stadium,S Asnani,BR Doctrove,
376,2012,Hyderabad,2012-05-20,11,2,2,field,normal,0,11,9,0,DW Steyn,"Rajiv Gandhi International Stadium, Uppal",S Ravi,SJA Taufel,
377,2012,Jaipur,2012-05-20,5,7,5,bat,normal,0,7,0,10,DR Smith,Sawai Mansingh Stadium,HDPK Dharmasena,C Shamshuddin,
378,2012,Pune,2012-05-22,8,6,8,bat,normal,0,8,18,0,YK Pathan,Subrata Roy Sahara Stadium,BR Doctrove,SJA Taufel,
379,2012,Bangalore,2012-05-23,3,7,7,field,normal,0,3,38,0,MS Dhoni,M Chinnaswamy Stadium,BF Bowden,HDPK Dharmasena,
