team_id,team_name,team_code
1,Sunrisers Hyderabad,SRH
2,Royal Challengers Bangalore,RCB
3,Chennai Super Kings,CSK
4,Kings XI Punjab,KXIP
5,Rajasthan Royals,RR
6,Delhi Daredevils,DD
7,Mumbai Indians,MI
8,Kolkata Knight Riders,KKR
9,Kochi Tuskers Kerala,KTK
10,Pune Warriors,PW
11,Deccan Chargers,DC
12,Rising Pune Supergiants,RPS
13,Gujarat Lions,GL
