Format:
predicted score, actual score, match id (cricinfo), features

Features Format:
current score, current wickets, current run rate, balls left, run rate in last 30 balls, wickets in last 30 balls, score in last 30 balls,countryId,teamplayingId,teamagainstId,groundid,daynight
179.479261759 202 1034829 [107L, 2L, 1.337, 40, 1.8, 0L, 36L, 5, 5, 15, 11, 1]
187.314326038 202 1034829 [140L, 3L, 1.4, 20, 1.65, 1L, 33L, 5, 5, 15, 11, 1]
171.74882311 165 1040485 [56L, 1L, 1.4, 80, 1.75, 0L, 35L, 5, 2, 6, 12, 0]
175.055386494 165 1040485 [85L, 2L, 1.417, 60, 1.45, 1L, 29L, 5, 2, 6, 12, 0]
169.180050015 165 1040485 [105L, 3L, 1.313, 40, 1.0, 1L, 20L, 5, 2, 6, 12, 0]
164.724034927 165 1040485 [125L, 4L, 1.25, 20, 1.0, 1L, 20L, 5, 2, 6, 12, 0]
144.427181505 184 1040487 [41L, 2L, 1.025, 80, 1.4, 0L, 28L, 5, 6, 2, 12, 0]
146.201392737 184 1040487 [70L, 4L, 1.167, 60, 1.45, 2L, 29L, 5, 6, 2, 12, 0]
162.626029529 184 1040487 [102L, 4L, 1.275, 40, 1.6, 0L, 32L, 5, 6, 2, 12, 0]
165.426570869 184 1040487 [130L, 5L, 1.3, 20, 1.4, 1L, 28L, 5, 6, 2, 12, 0]
193.974428755 233 1040489 [69L, 0L, 1.725, 80, 2.05, 0L, 41L, 5, 6, 2, 12, 0]
195.438761951 233 1040489 [95L, 0L, 1.583, 60, 1.3, 0L, 26L, 5, 6, 2, 12, 0]
183.724288284 233 1040489 [121L, 3L, 1.512, 40, 1.3, 3L, 26L, 5, 6, 2, 12, 0]
192.826590016 233 1040489 [152L, 4L, 1.52, 20, 1.55, 1L, 31L, 5, 6, 2, 12, 0]
224.475784811 245 1041615 [90L, 0L, 2.25, 80, 2.85, 0L, 57L, 6, 12, 5, 13, 0]
234.633466143 245 1041615 [131L, 1L, 2.183, 60, 2.05, 1L, 41L, 6, 12, 5, 13, 0]
263.340640595 245 1041615 [181L, 1L, 2.263, 40, 2.5, 0L, 50L, 6, 12, 5, 13, 0]
251.598988564 245 1041615 [206L, 3L, 2.06, 20, 1.25, 2L, 25L, 6, 12, 5, 13, 0]
161.264818132 143 1041617 [54L, 2L, 1.35, 80, 1.5, 1L, 30L, 6, 12, 5, 13, 0]
161.496616288 143 1041617 [75L, 2L, 1.25, 60, 1.05, 0L, 21L, 6, 12, 5, 13, 0]
148.743332879 143 1041617 [98L, 5L, 1.225, 40, 1.15, 3L, 23L, 6, 12, 5, 13, 0]
137.827861106 143 1041617 [114L, 7L, 1.14, 20, 0.8, 2L, 16L, 6, 12, 5, 13, 0]
108.983122384 115 1050217 [26L, 5L, 0.65, 80, 0.5, 2L, 10L, 7, 12, 7, 14, 1]
115.098926755 115 1050217 [45L, 5L, 0.75, 60, 0.95, 0L, 19L, 7, 12, 7, 14, 1]
91.8467745242 115 1050217 [56L, 8L, 0.7, 40, 0.55, 3L, 11L, 7, 12, 7, 14, 1]
110.006912304 115 1050217 [86L, 8L, 0.86, 20, 1.5, 0L, 30L, 7, 12, 7, 14, 1]
152.64770773 160 1050219 [42L, 1L, 1.05, 80, 1.4, 0L, 28L, 7, 7, 12, 14, 1]
155.531381202 160 1050219 [68L, 2L, 1.133, 60, 1.3, 1L, 26L, 7, 7, 12, 14, 1]
152.892972609 160 1050219 [89L, 3L, 1.113, 40, 1.05, 1L, 21L, 7, 7, 12, 14, 1]
167.899556033 160 1050219 [121L, 3L, 1.21, 20, 1.6, 0L, 32L, 7, 7, 12, 14, 1]
119.56827162 103 1050221 [27L, 3L, 0.675, 80, 0.65, 1L, 13L, 7, 12, 7, 15, 1]
116.207274408 103 1050221 [44L, 4L, 0.733, 60, 0.85, 1L, 17L, 7, 12, 7, 15, 1]
120.105842278 103 1050221 [68L, 5L, 0.85, 40, 1.2, 1L, 24L, 7, 12, 7, 15, 1]
